epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.328,1.27686,2.90274,2.05189,0.48159,0.51852,0.38729,0.21138,1.53853,3.26601,2.372,0.000475424,0.000475424,0.000475424
2,305.526,1.2388,2.24903,1.94998,0.8586,0.26667,0.36204,0.23154,1.40022,2.83761,2.18249,0.000857534,0.000857534,0.000857534
3,454.33,1.1889,1.95267,1.8727,0.61049,0.25588,0.29378,0.14268,1.43568,4.5971,2.22462,0.00114533,0.00114533,0.00114533
4,604.275,1.21315,1.79105,1.86745,0.62741,0.39259,0.39705,0.22401,1.24645,3.40345,2.01701,0.00100459,0.00100459,0.00100459
5,758.42,1.10284,1.53134,1.80076,0.58734,0.5037,0.33783,0.2117,1.22569,2.7701,1.9257,0.000863116,0.000863116,0.000863116
6,907.096,1.07882,1.38121,1.73284,0.34184,0.51852,0.41054,0.24966,1.34723,6.70471,2.27683,0.000721645,0.000721645,0.000721645
7,1053.83,1.02498,1.30432,1.69963,0.96503,0.24444,0.30942,0.17416,1.34064,4.00163,2.1507,0.000580174,0.000580174,0.000580174
8,1197.38,0.97332,1.14118,1.65196,0.63412,0.37037,0.33328,0.19612,1.31162,4.28413,2.11826,0.000438703,0.000438703,0.000438703
9,1340.16,0.96666,1.09165,1.63436,0.37661,0.50651,0.38823,0.24946,1.33239,2.93345,2.09564,0.000297232,0.000297232,0.000297232
10,1485.11,0.87729,1.01742,1.54127,0.27195,0.72593,0.35296,0.21013,1.29062,3.99092,2.06335,0.000155761,0.000155761,0.000155761
